Volume,Page,Sheet Type,Decade,Country,County,Subdivision,Transcribed Location,Year count,Start Year,Summary,Readings,100s+999s,% Complete,First Reading,Last Reading,Totals count,Totals 100s+999s,Avg Total,CSV Issues,Site Name,NGR,Latitude,Longitude,Elevation (ft),Stn no.,Observer,Comments
TYRain_1677-1886_A_pt1,31,Rainfall,17x0s,England,Surrey,Surrey-became-London,CAMBERWELL,10,1780,[..###9....] Dup,45,0,37.5,1782/01,1785/09,3,0,26.2,Duplication,CAMBERWELL,,,,,,,
TYRain_1677-1886_A_pt1,57,Rainfall,17x0s,England,Hampshire,-,ODIHAM HAMPSHIRE,10,1780,[......2###],37,0,30.8,1786/11,1789/12,3,0,31.3,,HAMPSHIRE-ODIHAM,,,,,,,unknown location
TYRain_1677-1886_A_pt1,59,Rainfall,17x0s,England,Hampshire,-,Selbourn Hampshire,10,1780,[..########] Dup,96,0,80,1782/01,1789/12,8,0,36.2,Duplication,SELBOURN-HAMPSHIRE,,,,,,,Only 1786 has unique data but different observer although taken from books - Name Thomas Barker may be incorrect Data as in Royal Society publication which might account for difference in Feb 1786 This value makes the total incorrect and is unlikely to be correct
TYRain_1677-1886_A_pt1,64,Rainfall,17x0s,England,Hampshire,-,ANDOVER,10,1780,[.....3####] Dup,51,0,42.5,1785/10,1789/12,4,0,24.3,Duplication,ANDOVER,,,,,,,Largely new data - Unlikely to be Fyfield as different observer and quite different values - Some values for 1786 and 1787 should be S Lambeth 1788 and 1789 OK - 1787 Apr onwards different but not found in Royal Sciety publication
TYRain_1677-1886_A_pt1,121,Rainfall,1800s,England,Devon,Devon South,PLYMOUTH HOSPITAL,10,1800,[#.........],12,0,10,1800/01,1800/12,1,0,35.5,,PLYMOUTH-HOSPITAL,,,,,,,
TYRain_1677-1886_A_pt1,122,Rainfall,1800s,England,Devon,Devon South,EXETER,10,1800,[#.........],12,0,10,1800/01,1800/12,1,0,24.6,,EXETER-1800,,,,,,,
TYRain_1677-1886_A_pt1,123,Rainfall,1820s,England,Devon,Devon South,EXETER,10,1820,[....##....] Dup,23,0,19.2,1824/01,1825/12,2,0,32.1,Duplication,EXETER-1824,,,,,,,
TYRain_1677-1886_A_pt1,131,Rainfall,17x0s,England,Somerset,-,MINEHEAD SOMERSETSHIRE,10,1780,[..#.#...#.] Dup,36,0,30,1782/01,1788/12,3,0,23.1,Duplication,MINEHEAD-SOMERSETSHIRE,,,,,,,Duplication
TYRain_1677-1886_A_pt1,132,Rainfall,17x0s,England,Somerset,-,Bridgewater,10,1760,[.......###],35,1,29.2,1767/01,1769/12,3,0,29.3,,BRIDGWATER,,,,,,,
TYRain_1677-1886_A_pt1,133,Rainfall,17x0s,England,Somerset,-,MINE HEAD SOMERSET,10,1780,[..#.......] Dup,12,0,10,1782/01,1782/12,1,0,31.3,Duplication,MINEHEAD-SOMERSET,,,,,,,Duplication
TYRain_1677-1886_A_pt1,156,Rainfall,17x0s,England,Nottinghamshire,-,LANGAR,10,1790,[....T.#...],12,0,10,1796/01,1796/12,2,0,24.4,,LANGAR,SK 724346,52.904,-0.925,,,,
